Código Municipio	Municipio 	Código Departamento	Departamento	2016	2017	2018p
05001	Medellín	05	Antioquia	 48,899 	 51,366 	 55,029 
05002	Abejorral	05	Antioquia	 195 	 228 	 220 
05004	Abriaquí	05	Antioquia	 18 	 19 	 24 
05021	Alejandría	05	Antioquia	 41 	 45 	 45 
05030	Amagá	05	Antioquia	 355 	 464 	 486 
05031	Amalfi	05	Antioquia	 648 	 649 	 721 
05034	Andes	05	Antioquia	 666 	 689 	 689 
05036	Angelópolis	05	Antioquia	 79 	 94 	 97 
05038	Angostura	05	Antioquia	 121 	 129 	 127 
05040	Anorí	05	Antioquia	 195 	 134 	 146 
05042	Santa Fé de Antioquia	05	Antioquia	 258 	 292 	 297 
05044	Anzá	05	Antioquia	 71 	 94 	 111 
05045	Apartadó	05	Antioquia	 2,219 	 2,498 	 2,593 
05051	Arboletes	05	Antioquia	 302 	 328 	 347 
05055	Argelia	05	Antioquia	 61 	 74 	 74 
05059	Armenia	05	Antioquia	 50 	 46 	 44 
05079	Barbosa	05	Antioquia	 828 	 827 	 904 
05086	Belmira	05	Antioquia	 68 	 72 	 73 
05088	Bello	05	Antioquia	 4,688 	 5,019 	 5,412 
05091	Betania	05	Antioquia	 142 	 154 	 139 
05093	Betulia	05	Antioquia	 200 	 228 	 231 
05101	Ciudad Bolívar	05	Antioquia	 307 	 336 	 328 
05107	Briceño	05	Antioquia	 61 	 74 	 80 
05113	Buriticá	05	Antioquia	 88 	 74 	 72 
05120	Cáceres	05	Antioquia	 462 	 426 	 467 
05125	Caicedo	05	Antioquia	 79 	 105 	 103 
05129	Caldas	05	Antioquia	 960 	 999 	 1,064 
05134	Campamento	05	Antioquia	 58 	 62 	 66 
05138	Cañasgordas	05	Antioquia	 147 	 152 	 150 
05142	Caracolí	05	Antioquia	 51 	 45 	 48 
05145	Caramanta	05	Antioquia	 61 	 63 	 67 
05147	Carepa	05	Antioquia	 1,182 	 1,056 	 1,129 
05148	El Carmen de Viboral	05	Antioquia	 518 	 496 	 536 
05150	Carolina	05	Antioquia	 34 	 36 	 41 
05154	Caucasia	05	Antioquia	 965 	 1,097 	 1,326 
05172	Chigorodó	05	Antioquia	 896 	 919 	 996 
05190	Cisneros	05	Antioquia	 89 	 91 	 98 
05197	Cocorná	05	Antioquia	 130 	 135 	 145 
05206	Concepción	05	Antioquia	 47 	 45 	 46 
05209	Concordia	05	Antioquia	 218 	 269 	 264 
05212	Copacabana	05	Antioquia	 1,107 	 1,076 	 1,203 
05234	Dabeiba	05	Antioquia	 222 	 238 	 242 
05237	Donmatías	05	Antioquia	 373 	 405 	 433 
05240	Ebéjico	05	Antioquia	 153 	 200 	 216 
05250	El Bagre	05	Antioquia	 1,060 	 871 	 827 
05264	Entrerríos	05	Antioquia	 308 	 323 	 354 
05266	Envigado	05	Antioquia	 8,650 	 8,749 	 9,047 
05282	Fredonia	05	Antioquia	 265 	 297 	 330 
05284	Frontino	05	Antioquia	 153 	 152 	 161 
05306	Giraldo	05	Antioquia	 36 	 43 	 46 
05308	Girardota	05	Antioquia	 1,890 	 1,917 	 2,065 
05310	Gómez Plata	05	Antioquia	 283 	 299 	 334 
05313	Granada	05	Antioquia	 67 	 70 	 77 
05315	Guadalupe	05	Antioquia	 50 	 55 	 60 
05318	Guarne	05	Antioquia	 1,199 	 1,207 	 1,305 
05321	Guatapé	05	Antioquia	 280 	 293 	 318 
05347	Heliconia	05	Antioquia	 51 	 61 	 56 
05353	Hispania	05	Antioquia	 57 	 59 	 61 
05360	Itagüí	05	Antioquia	 7,097 	 7,185 	 7,754 
05361	Ituango	05	Antioquia	 180 	 191 	 193 
05364	Jardín	05	Antioquia	 168 	 175 	 181 
05368	Jericó	05	Antioquia	 158 	 169 	 187 
05376	La Ceja	05	Antioquia	 579 	 684 	 738 
05380	La Estrella	05	Antioquia	 1,456 	 1,698 	 1,801 
05390	La Pintada	05	Antioquia	 133 	 145 	 179 
05400	La Unión	05	Antioquia	 189 	 211 	 248 
05411	Liborina	05	Antioquia	 82 	 94 	 91 
05425	Maceo	05	Antioquia	 85 	 81 	 88 
05440	Marinilla	05	Antioquia	 845 	 878 	 1,012 
05467	Montebello	05	Antioquia	 112 	 97 	 90 
05475	Murindó	05	Antioquia	 35 	 38 	 38 
05480	Mutatá	05	Antioquia	 173 	 197 	 248 
05483	Nariño	05	Antioquia	 116 	 127 	 127 
05490	Necoclí	05	Antioquia	 507 	 555 	 594 
05495	Nechí	05	Antioquia	 333 	 301 	 267 
05501	Olaya	05	Antioquia	 33 	 35 	 36 
05541	Peñol	05	Antioquia	 321 	 340 	 500 
05543	Peque	05	Antioquia	 76 	 87 	 83 
05576	Pueblorrico	05	Antioquia	 69 	 52 	 59 
05579	Puerto Berrío	05	Antioquia	 539 	 632 	 644 
05585	Puerto Nare	05	Antioquia	 396 	 405 	 465 
05591	Puerto Triunfo	05	Antioquia	 181 	 186 	 204 
05604	Remedios	05	Antioquia	 474 	 537 	 580 
05607	Retiro	05	Antioquia	 338 	 401 	 436 
05615	Rionegro	05	Antioquia	 2,878 	 3,117 	 3,454 
