Código Municipio	Municipio 	Código Departamento	Departamento	 Actividades primarias * 	 Actividades secundarias ** 	 Actividades terciarias *** 	" Valor agregado
 "	Peso relativo municipal en el valor agregado departamental (%)
05001	Medellín	05	Antioquia	145	12,085	39,136	 51,366 	 42,6 
05002	Abejorral	05	Antioquia	90	20	119	 228 	 0,2 
05004	Abriaquí	05	Antioquia	5	2	12	 19 	 0,0 
05021	Alejandría	05	Antioquia	8	4	32	 45 	 0,0 
05030	Amagá	05	Antioquia	51	191	222	 464 	 0,4 
05031	Amalfi	05	Antioquia	60	52	537	 649 	 0,5 
05034	Andes	05	Antioquia	155	210	324	 689 	 0,6 
05036	Angelópolis	05	Antioquia	33	8	53	 94 	 0,1 
05038	Angostura	05	Antioquia	36	18	75	 129 	 0,1 
05040	Anorí	05	Antioquia	14	11	108	 134 	 0,1 
05042	Santa Fé de Antioquia	05	Antioquia	28	24	240	 292 	 0,2 
05044	Anzá	05	Antioquia	42	8	43	 94 	 0,1 
05045	Apartadó	05	Antioquia	571	281	1,646	 2,498 	 2,1 
05051	Arboletes	05	Antioquia	54	28	246	 328 	 0,3 
05055	Argelia	05	Antioquia	23	6	45	 74 	 0,1 
05059	Armenia	05	Antioquia	12	4	29	 46 	 0,0 
05079	Barbosa	05	Antioquia	100	355	372	 827 	 0,7 
05086	Belmira	05	Antioquia	15	6	50	 72 	 0,1 
05088	Bello	05	Antioquia	27	1,032	3,960	 5,019 	 4,2 
05091	Betania	05	Antioquia	75	13	65	 154 	 0,1 
05093	Betulia	05	Antioquia	101	19	108	 228 	 0,2 
05101	Ciudad Bolívar	05	Antioquia	107	28	200	 336 	 0,3 
05107	Briceño	05	Antioquia	20	6	49	 74 	 0,1 
05113	Buriticá	05	Antioquia	27	5	42	 74 	 0,1 
05120	Cáceres	05	Antioquia	126	29	271	 426 	 0,4 
05125	Caicedo	05	Antioquia	39	9	58	 105 	 0,1 
05129	Caldas	05	Antioquia	57	298	644	 999 	 0,8 
05134	Campamento	05	Antioquia	7	6	50	 62 	 0,1 
05138	Cañasgordas	05	Antioquia	37	13	102	 152 	 0,1 
05142	Caracolí	05	Antioquia	7	4	34	 45 	 0,0 
05145	Caramanta	05	Antioquia	18	6	39	 63 	 0,1 
05147	Carepa	05	Antioquia	566	90	401	 1,056 	 0,9 
05148	El Carmen de Viboral	05	Antioquia	48	48	400	 496 	 0,4 
05150	Carolina	05	Antioquia	6	3	28	 36 	 0,0 
05154	Caucasia	05	Antioquia	143	87	867	 1,097 	 0,9 
05172	Chigorodó	05	Antioquia	301	79	539	 919 	 0,8 
05190	Cisneros	05	Antioquia	4	9	79	 91 	 0,1 
05197	Cocorná	05	Antioquia	13	16	105	 135 	 0,1 
05206	Concepción	05	Antioquia	18	4	23	 45 	 0,0 
05209	Concordia	05	Antioquia	125	24	121	 269 	 0,2 
05212	Copacabana	05	Antioquia	8	468	600	 1,076 	 0,9 
05234	Dabeiba	05	Antioquia	75	20	143	 238 	 0,2 
05237	Donmatías	05	Antioquia	155	47	203	 405 	 0,3 
05240	Ebéjico	05	Antioquia	101	18	82	 200 	 0,2 
05250	El Bagre	05	Antioquia	494	34	343	 871 	 0,7 
05264	Entrerríos	05	Antioquia	47	182	94	 323 	 0,3 
05266	Envigado	05	Antioquia	15	2,743	5,991	 8,749 	 7,3 
05282	Fredonia	05	Antioquia	117	28	152	 297 	 0,2 
05284	Frontino	05	Antioquia	29	16	108	 152 	 0,1 
05306	Giraldo	05	Antioquia	12	4	27	 43 	 0,0 
05308	Girardota	05	Antioquia	45	1,247	624	 1,917 	 1,6 
05310	Gómez Plata	05	Antioquia	20	26	253	 299 	 0,2 
05313	Granada	05	Antioquia	9	6	55	 70 	 0,1 
05315	Guadalupe	05	Antioquia	7	5	42	 55 	 0,0 
05318	Guarne	05	Antioquia	69	712	426	 1,207 	 1,0 
05321	Guatapé	05	Antioquia	6	25	262	 293 	 0,2 
05347	Heliconia	05	Antioquia	19	5	37	 61 	 0,1 
05353	Hispania	05	Antioquia	17	5	36	 59 	 0,0 
05360	Itagüí	05	Antioquia	0	2,860	4,324	 7,185 	 6,0 
05361	Ituango	05	Antioquia	50	16	124	 191 	 0,2 
05364	Jardín	05	Antioquia	49	16	111	 175 	 0,1 
05368	Jericó	05	Antioquia	60	15	94	 169 	 0,1 
05376	La Ceja	05	Antioquia	41	88	555	 684 	 0,6 
05380	La Estrella	05	Antioquia	6	909	783	 1,698 	 1,4 
05390	La Pintada	05	Antioquia	5	48	92	 145 	 0,1 
05400	La Unión	05	Antioquia	21	29	161	 211 	 0,2 
05411	Liborina	05	Antioquia	27	8	59	 94 	 0,1 
05425	Maceo	05	Antioquia	19	7	55	 81 	 0,1 
05440	Marinilla	05	Antioquia	152	272	454	 878 	 0,7 
05467	Montebello	05	Antioquia	16	41	41	 97 	 0,1 
05475	Murindó	05	Antioquia	1	3	34	 38 	 0,0 
05480	Mutatá	05	Antioquia	50	15	131	 197 	 0,2 
05483	Nariño	05	Antioquia	23	15	89	 127 	 0,1 
05490	Necoclí	05	Antioquia	98	48	409	 555 	 0,5 
05495	Nechí	05	Antioquia	113	19	168	 301 	 0,2 
05501	Olaya	05	Antioquia	6	3	26	 35 	 0,0 
05541	Peñol	05	Antioquia	199	30	111	 340 	 0,3 
05543	Peque	05	Antioquia	20	7	60	 87 	 0,1 
05576	Pueblorrico	05	Antioquia	1	6	46	 52 	 0,0 
05579	Puerto Berrío	05	Antioquia	102	56	474	 632 	 0,5 
05585	Puerto Nare	05	Antioquia	103	46	256	 405 	 0,3 
05591	Puerto Triunfo	05	Antioquia	24	21	140	 186 	 0,2 
05604	Remedios	05	Antioquia	325	21	191	 537 	 0,4 
05607	Retiro	05	Antioquia	45	46	309	 401 	 0,3 
05615	Rionegro	05	Antioquia	52	1,636	1,429	 3,117 	 2,6 
05628	Sabanalarga	05	Antioquia	28	7	50	 85 	 0,1 
05631	Sabaneta	05	Antioquia	8	1,266	1,656	 2,929 	 2,4 
05642	Salgar	05	Antioquia	110	21	114	 244 	 0,2 
05647	San Andrés de Cuerquía	05	Antioquia	2	4	39	 45 	 0,0 
05649	San Carlos	05	Antioquia	19	58	607	 684 	 0,6 
05652	San Francisco	05	Antioquia	5	6	56	 67 	 0,1 
05656	San Jerónimo	05	Antioquia	17	13	124	 154 	 0,1 
05658	San José de la Montaña	05	Antioquia	5	3	25	 33 	 0,0 
05659	San Juan de Urabá	05	Antioquia	51	18	142	 211 	 0,2 
05660	San Luis	05	Antioquia	8	10	80	 98 	 0,1 
05664	San Pedro de los milagros	05	Antioquia	56	462	239	 757 	 0,6 
05665	San Pedro de Urabá	05	Antioquia	57	23	188	 268 	 0,2 
05667	San Rafael	05	Antioquia	9	16	147	 171 	 0,1 
05670	San Roque	05	Antioquia	46	16	109	 171 	 0,1 
05674	San Vicente Ferrer	05	Antioquia	69	16	109	 194 	 0,2 
05679	Santa Bárbara	05	Antioquia	88	22	146	 255 	 0,2 
05686	Santa Rosa de Osos	05	Antioquia	341	265	367	 974 	 0,8 
05690	Santo Domingo	05	Antioquia	67	14	70	 151 	 0,1 
05697	El Santuario	05	Antioquia	17	32	194	 243 	 0,2 
05736	Segovia	05	Antioquia	258	31	304	 592 	 0,5 
05756	Sonsón	05	Antioquia	157	306	266	 730 	 0,6 
05761	Sopetrán	05	Antioquia	20	13	113	 146 	 0,1 
05789	Támesis	05	Antioquia	70	17	109	 196 	 0,2 
05790	Tarazá	05	Antioquia	53	27	268	 348 	 0,3 
05792	Tarso	05	Antioquia	41	10	66	 116 	 0,1 
05809	Titiribí	05	Antioquia	35	11	92	 138 	 0,1 
05819	Toledo	05	Antioquia	10	6	56	 72 	 0,1 
05837	Turbo	05	Antioquia	735	193	1,328	 2,255 	 1,9 
05842	Uramita	05	Antioquia	17	6	44	 67 	 0,1 
05847	Urrao	05	Antioquia	232	54	271	 557 	 0,5 
05854	Valdivia	05	Antioquia	18	14	133	 165 	 0,1 
05856	Valparaíso	05	Antioquia	51	10	52	 113 	 0,1 
05858	Vegachí	05	Antioquia	23	10	77	 109 	 0,1 
05861	Venecia	05	Antioquia	49	16	113	 178 	 0,1 
05873	Vigía del Fuerte	05	Antioquia	11	4	34	 49 	 0,0 
05885	Yalí	05	Antioquia	11	6	50	 67 	 0,1 
05887	Yarumal	05	Antioquia	47	125	367	 539 	 0,4 
05890	Yolombó	05	Antioquia	41	23	144	 208 	 0,2 
05893	Yondó	05	Antioquia	670	19	129	 819 	 0,7 
05895	Zaragoza	05	Antioquia	191	20	189	 400 	 0,3 
08001	Barranquilla	08	Atlántico	4	6,203	18,205	 24,412 	 66,4 
08078	Baranoa	08	Atlántico	44	287	349	 680 	 1,8 
08137	Campo de la Cruz	08	Atlántico	7	9	82	 98 	 0,3 
08141	Candelaria	08	Atlántico	6	7	64	 77 	 0,2 
08296	Galapa	08	Atlántico	24	333	351	 708 	 1,9 
08372	Juan de Acosta	08	Atlántico	6	15	115	 135 	 0,4 
08421	Luruaco	08	Atlántico	13	27	129	 169 	 0,5 
08433	Malambo	08	Atlántico	42	839	847	 1,728 	 4,7 
08436	Manatí	08	Atlántico	16	12	94	 123 	 0,3 
08520	Palmar de Varela	08	Atlántico	15	15	124	 153 	 0,4 
08549	Piojó	08	Atlántico	6	3	25	 35 	 0,1 
08558	Polonuevo	08	Atlántico	40	12	79	 132 	 0,4 
08560	Ponedera	08	Atlántico	29	15	118	 161 	 0,4 
08573	Puerto Colombia	08	Atlántico	5	78	330	 413 	 1,1 
08606	Repelón	08	Atlántico	28	16	132	 177 	 0,5 
08634	Sabanagrande	08	Atlántico	21	45	188	 254 	 0,7 
08638	Sabanalarga	08	Atlántico	158	55	503	 716 	 1,9 
08675	Santa Lucía	08	Atlántico	6	6	52	 63 	 0,2 
08685	Santo Tomás	08	Atlántico	24	17	149	 190 	 0,5 
08758	Soledad	08	Atlántico	2	1,462	4,690	 6,155 	 16,7 
08770	Suan	08	Atlántico	3	5	44	 52 	 0,1 
08832	Tubará	08	Atlántico	5	10	80	 95 	 0,3 
08849	Usiacurí	08	Atlántico	7	5	45	 57 	 0,2 
11001	Bogotá, D.C.	11	Bogotá, D. C.	383	30,609	181,297	 212,289 	 100,0 
13001	Cartagena de Indias	13	Bolívar	13	7,497	12,391	 19,901 	 67,0 
13006	Achí	13	Bolívar	67	31	124	 222 	 0,7 
13030	Altos del Rosario	13	Bolívar	7	10	57	 75 	 0,3 
13042	Arenal	13	Bolívar	59	12	72	 143 	 0,5 
13052	Arjona	13	Bolívar	112	84	403	 599 	 2,0 
13062	Arroyohondo	13	Bolívar	8	9	48	 65 	 0,2 
13074	Barranco de Loba	13	Bolívar	33	14	80	 126 	 0,4 
13140	Calamar	13	Bolívar	14	23	132	 169 	 0,6 
13160	Cantagallo	13	Bolívar	351	16	90	 457 	 1,5 
13188	Cicuco	13	Bolívar	24	11	65	 101 	 0,3 
13212	Córdoba	13	Bolívar	18	14	70	 102 	 0,3 
13222	Clemencia	13	Bolívar	13	34	69	 115 	 0,4 
13244	El Carmen de Bolívar	13	Bolívar	91	78	386	 554 	 1,9 
13248	El Guamo	13	Bolívar	19	11	52	 82 	 0,3 
13268	El Peñón	13	Bolívar	21	10	41	 73 	 0,2 
13300	Hatillo de Loba	13	Bolívar	10	11	56	 77 	 0,3 
13430	Magangué	13	Bolívar	65	174	1,014	 1,253 	 4,2 
13433	Mahates	13	Bolívar	76	32	128	 237 	 0,8 
13440	Margarita	13	Bolívar	21	10	43	 74 	 0,2 
13442	María La Baja	13	Bolívar	87	65	325	 477 	 1,6 
13458	Montecristo	13	Bolívar	38	16	82	 136 	 0,5 
13468	Mompós	13	Bolívar	31	47	255	 333 	 1,1 
13473	Morales	13	Bolívar	60	24	107	 190 	 0,6 
13490	Norosí	13	Bolívar	71	5	22	 98 	 0,3 
13549	Pinillos	13	Bolívar	39	23	107	 170 	 0,6 
13580	Regidor	13	Bolívar	30	12	44	 86 	 0,3 
13600	Río Viejo	13	Bolívar	39	15	78	 133 	 0,4 
13620	San Cristóbal	13	Bolívar	3	5	29	 38 	 0,1 
